Crop,Crop_matched,Target_mode,Soil_N_ppm,Soil_P_ppm,Soil_K_ppm,Target_N,Target_P,Target_K,Required_N,Required_P,Required_K,Complete_kg_ha,Urea_kg_ha,Compost_kg_ha,N_from_Complete,P_from_Complete,K_from_Complete,N_from_Urea,Total_N_supplied,Total_P_supplied,Total_K_supplied
Cabbage,Cabbage,M,123.36,35.76,21.08,146.9,33.9,43.7,23.5,3.82,22.6,161.4,2.0,5.6,22.6,22.6,22.6,0.92,23.52,22.6,22.6
Chili Pepper,Chili Pepper,M,32.43,26.61,60.14,62.9,49.9,118.7,30.5,23.3,58.6,418.6,6.57,1.27,58.6,58.6,58.6,9.0,58.6,58.6,58.6
Eggplant,Eggplant,M,67.53,22.75,29.02,83.0,49.5,58.8,15.5,26.8,29.8,212.9,6.91,2.41,29.81,29.81,29.81,7.0,29.81,29.81,29.81
Ampalaya,Ampalaya,M,37.18,17.06,28.32,52.3,50.1,44.2,15.1,33.0,15.9,235.7,2.3,5.23,33.0,33.0,33.0,8.0,33.0,33.0,33.0
Chili Pepper,Chili Pepper,H,32.55,25.54,68.19,29.5,28.9,59.8,4.7,3.4,2.99,24.3,6.05,4.29,3.4,3.4,3.4,10.0,3.4,3.4,3.4
Carrot,Carrot,M,52.88,25.34,33.09,83.6,60.6,75.3,30.7,35.3,42.2,301.4,9.37,6.82,42.2,42.2,42.2,2.0,42.2,42.2,42.2
Okra,Okra,L,75.48,20.35,23.76,93.5,76.7,93.4,18.0,56.4,69.6,497.1,1.96,6.0,69.59,69.59,69.59,7.0,69.62,69.6,69.6
Eggplant,Eggplant,M,84.79,21.91,32.28,77.5,50.4,60.5,2.86,28.5,28.2,203.6,9.37,2.16,28.5,28.5,28.5,8.0,28.5,28.5,28.5
String Bean,String Bean,M,32.57,22.47,29.44,40.0,45.7,39.0,7.4,23.2,9.6,165.7,3.72,1.23,23.2,23.2,23.2,9.0,23.2,23.2,23.2
Okra,Okra,L,71.45,16.16,29.67,85.9,79.0,92.9,14.5,62.8,63.2,451.4,2.75,3.18,63.2,63.2,63.2,9.0,63.2,63.2,63.2
Eggplant,Eggplant,M,66.49,18.99,34.0,80.6,50.7,58.7,14.1,31.7,24.7,226.4,9.8,1.37,31.7,31.7,31.7,7.0,31.7,31.7,31.7
Carrot,Carrot,L,71.65,30.3,29.03,86.9,88.0,116.9,15.2,57.7,87.9,627.9,3.6,2.9,87.91,87.91,87.91,10.0,87.91,87.91,87.91
Ampalaya,Ampalaya,H,39.77,22.62,32.39,41.3,20.5,29.1,1.5,7.88,5.1,4.98,3.3,4.39,1.0,7.0,7.0,1.52,1.52,7.0,3.0
Chili Pepper,Chili Pepper,H,29.83,28.95,56.7,29.1,31.3,57.1,6.75,2.4,0.4,17.1,9.23,9.0,2.39,2.39,2.39,1.0,2.42,2.4,2.4
Patola,Patola,L,31.06,19.79,28.04,90.9,83.9,59.5,59.8,64.1,31.5,457.9,5.43,4.37,64.11,64.11,64.11,1.0,64.11,64.11,64.11
Chayote,Chayote,H,42.41,21.24,29.85,40.0,21.0,29.8,8.27,6.79,4.17,7.0,2.92,8.23,7.0,8.0,10.0,10.0,6.0,9.0,7.0
String Bean,String Bean,L,27.35,22.76,26.63,49.6,92.0,49.4,22.2,69.2,22.8,494.3,7.64,7.32,69.2,69.2,69.2,2.0,69.2,69.2,69.2
Ampalaya,Ampalaya,L,34.59,19.21,32.02,89.4,76.6,59.7,54.8,57.4,27.7,410.0,2.89,2.32,57.4,57.4,57.4,1.0,57.4,57.4,57.4
Chili Pepper,Chili Pepper,M,27.61,28.38,52.6,61.9,51.1,120.0,34.3,22.7,67.4,481.4,9.16,5.75,67.4,67.4,67.4,2.0,67.4,67.4,67.4
Chili Pepper,Chili Pepper,H,27.49,33.16,65.04,31.2,28.9,59.1,3.7,2.81,6.35,3.29,8.0,0.7,10.0,4.0,10.0,3.68,3.7,0.01,0.01
Chili Pepper,Chili Pepper,M,27.44,26.07,67.71,62.1,50.2,120.5,34.7,24.1,52.8,377.1,1.78,4.0,52.79,52.79,52.79,9.0,52.82,52.8,52.8
String Bean,String Bean,H,31.26,15.15,28.82,35.5,20.1,31.3,4.2,5.0,2.5,35.7,5.33,5.75,5.0,5.0,5.0,2.0,5.0,5.0,5.0
Eggplant,Eggplant,H,77.35,24.4,25.48,69.5,19.2,29.7,1.83,4.39,4.2,30.0,2.74,5.1,4.2,4.2,4.2,5.0,4.2,4.2,4.2
Tomato,Tomato,M,74.65,33.16,27.25,76.7,75.6,57.1,2.0,42.4,29.8,302.9,1.78,7.34,42.41,42.41,42.41,6.0,42.41,42.41,42.41
Carrot,Carrot,H,70.89,28.97,27.46,68.2,31.1,29.1,4.16,2.1,1.6,15.0,9.87,2.12,2.1,2.1,2.1,1.0,2.1,2.1,2.1
Cabbage,Cabbage,L,121.22,30.61,16.34,149.7,60.9,57.1,28.5,30.3,40.8,291.4,1.44,7.18,40.8,40.8,40.8,6.0,40.8,40.8,40.8
Ampalaya,Ampalaya,H,37.95,18.85,29.54,41.2,20.0,30.4,3.2,1.1,0.9,7.9,4.5,0.7,1.11,1.11,1.11,2.07,3.2,1.12,1.12
Okra,Okra,H,84.26,23.19,29.66,76.4,20.9,29.3,8.02,7.75,2.29,5.69,5.21,7.74,5.0,9.0,8.0,5.0,9.0,1.0,9.0
Patola,Patola,L,30.48,20.11,30.77,87.0,79.6,62.9,56.5,59.5,32.1,425.0,3.79,1.03,59.5,59.5,59.5,4.0,59.5,59.5,59.5
Eggplant,Eggplant,M,66.59,18.5,31.24,76.3,49.0,62.5,9.7,30.5,31.3,223.6,6.67,6.43,31.3,31.3,31.3,4.0,31.3,31.3,31.3
Okra,Okra,H,83.03,15.31,29.93,80.7,20.5,30.8,2.07,5.2,0.9,37.1,5.6,1.0,5.19,5.19,5.19,5.0,5.22,5.2,5.2
Eggplant,Eggplant,L,81.69,20.86,35.56,86.5,82.4,87.9,4.8,61.5,52.3,439.3,9.66,5.04,61.5,61.5,61.5,2.0,61.5,61.5,61.5
Patola,Patola,L,31.17,17.48,29.32,92.6,77.5,59.8,61.4,60.0,30.5,428.6,3.0,0.7,60.0,60.0,60.0,1.38,61.4,60.01,60.01
String Bean,String Bean,M,34.4,18.58,36.2,41.0,43.9,41.8,6.6,25.3,5.6,180.7,1.34,1.83,25.3,25.3,25.3,8.0,25.3,25.3,25.3
Chili Pepper,Chili Pepper,H,29.27,27.11,57.02,30.2,30.4,57.0,0.9,3.3,3.37,23.6,1.7,1.98,3.3,3.3,3.3,6.0,3.3,3.3,3.3
String Bean,String Bean,L,32.76,22.81,26.93,50.1,86.4,48.8,17.3,63.6,21.9,454.3,2.02,1.98,63.6,63.6,63.6,6.0,63.6,63.6,63.6
Patola,Patola,L,31.25,21.3,27.3,90.8,78.3,61.7,59.6,57.0,34.4,407.1,5.7,3.0,56.99,56.99,56.99,2.62,59.64,57.0,57.0
Tomato,Tomato,H,74.57,29.54,25.4,68.2,30.7,31.2,8.31,1.2,5.8,41.4,3.25,6.2,5.8,5.8,5.8,3.0,5.8,5.8,5.8
Tomato,Tomato,M,76.7,27.82,27.84,80.3,78.2,58.1,3.6,50.4,30.3,360.0,2.92,7.56,50.4,50.4,50.4,5.0,50.4,50.4,50.4
Tomato,Tomato,L,75.76,31.31,29.65,92.9,117.9,86.6,17.1,86.6,57.0,618.6,6.11,8.4,86.6,86.6,86.6,8.0,86.6,86.6,86.6
Chayote,Chayote,M,41.48,18.36,32.89,48.5,51.7,42.9,7.0,33.3,10.0,237.9,3.49,4.43,33.31,33.31,33.31,4.0,33.31,33.31,33.31
Chayote,Chayote,M,40.88,16.86,29.31,49.1,49.3,44.5,8.2,32.4,15.2,231.4,3.44,3.07,32.4,32.4,32.4,7.0,32.4,32.4,32.4
Chili Pepper,Chili Pepper,H,31.23,30.18,49.39,30.8,29.1,57.6,8.66,7.71,8.2,58.6,6.1,4.41,8.2,8.2,8.2,4.0,8.2,8.2,8.2
Chili Pepper,Chili Pepper,L,28.62,33.06,71.86,88.1,76.4,153.4,59.5,43.3,81.5,582.1,5.38,10.0,81.49,81.49,81.49,6.0,81.52,81.5,81.5
String Bean,String Bean,L,27.35,22.78,33.74,52.5,88.1,50.6,25.2,65.3,16.9,466.4,8.39,6.63,65.3,65.3,65.3,7.0,65.3,65.3,65.3
String Bean,String Bean,H,27.05,18.1,33.67,34.2,19.1,30.1,7.2,6.0,4.24,7.1,13.5,10.0,0.99,0.99,0.99,6.21,7.23,2.0,9.0
Okra,Okra,M,83.04,21.75,33.03,80.6,51.6,60.4,9.92,29.8,27.4,212.9,6.89,9.73,29.81,29.81,29.81,6.0,29.81,29.81,29.81
String Bean,String Bean,H,29.48,19.26,28.95,35.2,20.9,28.7,5.7,1.6,4.62,11.4,8.9,0.3,1.6,1.6,1.6,4.09,5.7,1.6,1.6
Okra,Okra,L,102.57,19.26,31.08,89.2,83.1,85.9,7.4,63.8,54.8,455.7,8.9,6.8,63.8,63.8,63.8,3.0,63.8,63.8,63.8
Tomato,Tomato,M,90.39,28.78,32.72,81.3,75.0,60.7,2.3,46.2,28.0,330.0,2.72,8.08,46.2,46.2,46.2,9.0,46.2,46.2,46.2
String Bean,String Bean,L,38.82,20.02,29.32,50.0,89.4,50.2,11.2,69.4,20.9,495.7,8.68,7.2,69.4,69.4,69.4,10.0,69.4,69.4,69.4
Chili Pepper,Chili Pepper,L,30.35,30.66,64.7,89.8,76.6,154.0,59.4,45.9,89.3,637.9,2.04,9.63,89.31,89.31,89.31,7.0,89.31,89.31,89.31
Carrot,Carrot,H,74.65,29.89,27.73,67.2,30.4,31.2,3.15,0.5,3.5,25.0,6.38,3.64,3.5,3.5,3.5,7.0,3.5,3.5,3.5
Cabbage,Cabbage,L,113.35,22.7,15.46,150.3,61.4,62.4,37.0,38.7,46.9,335.0,9.68,9.1,46.9,46.9,46.9,10.0,46.9,46.9,46.9
Carrot,Carrot,H,70.77,32.95,29.26,70.1,29.0,30.3,7.65,3.19,9.0,7.1,6.02,5.0,0.99,0.99,0.99,3.0,1.02,1.0,9.0
Tomato,Tomato,L,74.81,29.31,27.01,86.5,121.4,90.7,11.7,92.1,63.7,657.9,9.63,2.33,92.11,92.11,92.11,3.0,92.11,92.11,92.11
Patola,Patola,L,31.2,23.41,28.79,91.3,82.0,60.6,60.1,58.6,31.8,418.6,3.3,2.0,58.6,58.6,58.6,1.52,60.12,58.6,58.6
Tomato,Tomato,H,76.24,31.5,25.41,71.2,30.2,31.1,3.09,8.33,5.7,40.7,8.32,3.38,5.7,5.7,5.7,2.0,5.7,5.7,5.7
Chayote,Chayote,L,33.71,21.1,30.18,60.9,83.7,58.0,27.2,62.6,27.8,447.1,8.59,7.0,62.59,62.59,62.59,3.0,62.62,62.6,62.6
Okra,Okra,M,81.12,19.9,29.9,80.0,50.6,58.0,1.47,30.7,28.1,219.3,8.2,1.03,30.7,30.7,30.7,7.0,30.7,30.7,30.7
Carrot,Carrot,L,59.08,29.58,30.34,87.3,89.5,124.2,28.2,59.9,93.9,670.7,9.78,9.77,93.9,93.9,93.9,2.0,93.9,93.9,93.9
Carrot,Carrot,L,64.18,30.36,29.45,91.6,85.8,117.7,27.4,55.4,88.2,630.0,2.08,6.2,88.2,88.2,88.2,9.0,88.2,88.2,88.2
Chayote,Chayote,M,37.35,21.06,29.14,48.0,51.5,43.6,10.6,30.4,14.5,217.1,5.02,2.0,30.39,30.39,30.39,8.0,30.42,30.4,30.4
Cabbage,Cabbage,H,107.74,34.31,20.04,117.7,20.2,30.8,10.0,3.98,10.8,77.1,7.48,6.0,10.79,10.79,10.79,3.0,10.82,10.8,10.8
Chayote,Chayote,L,33.04,17.02,36.28,60.2,76.8,59.1,27.2,59.8,22.8,427.1,5.88,7.0,59.79,59.79,59.79,5.0,59.82,59.8,59.8
Chili Pepper,Chili Pepper,H,31.43,33.01,56.64,29.8,30.1,58.4,2.41,2.4,1.8,12.9,7.92,8.67,1.81,1.81,1.81,8.0,1.81,1.81,1.81
Carrot,Carrot,M,77.29,30.73,27.44,81.4,58.2,74.7,4.1,27.5,47.3,337.9,3.64,8.23,47.31,47.31,47.31,2.0,47.31,47.31,47.31
Patola,Patola,M,28.95,20.25,35.35,62.3,50.0,44.5,33.3,29.8,9.1,212.9,7.6,8.58,29.81,29.81,29.81,3.5,33.31,29.81,29.81
Ampalaya,Ampalaya,H,44.41,17.81,29.26,41.4,20.6,31.2,2.45,2.8,1.9,20.0,2.93,4.11,2.8,2.8,2.8,4.0,2.8,2.8,2.8
String Bean,String Bean,M,34.84,17.98,34.35,40.5,45.0,39.9,5.7,27.0,5.5,192.9,2.38,7.12,27.01,27.01,27.01,1.0,27.01,27.01,27.01
Ampalaya,Ampalaya,H,40.68,19.88,35.55,39.6,19.7,30.6,3.78,9.56,6.18,4.52,4.81,3.7,6.0,3.0,5.0,8.0,1.0,1.0,9.0
Okra,Okra,M,74.06,21.01,24.64,78.4,49.0,57.8,4.3,28.0,33.2,237.1,4.39,1.0,33.19,33.19,33.19,4.0,33.22,33.2,33.2
Eggplant,Eggplant,H,77.38,18.68,30.06,71.6,20.9,29.8,3.98,2.2,5.3,15.7,3.1,2.82,2.2,2.2,2.2,7.0,2.2,2.2,2.2
Patola,Patola,M,33.56,22.42,29.8,62.9,48.2,46.9,29.3,25.8,17.1,184.3,7.6,5.17,25.8,25.8,25.8,3.5,29.3,25.8,25.8
Ampalaya,Ampalaya,M,36.9,20.2,31.85,48.3,49.7,45.0,11.4,29.5,13.2,210.7,2.52,2.42,29.5,29.5,29.5,7.0,29.5,29.5,29.5
String Bean,String Bean,H,34.43,18.9,34.59,33.6,19.4,31.1,3.58,0.5,7.32,3.6,1.91,3.25,0.5,0.5,0.5,2.0,0.5,0.5,0.5
String Bean,String Bean,H,29.67,19.15,32.51,34.0,19.8,29.2,4.3,0.7,4.92,5.0,7.8,0.3,0.7,0.7,0.7,3.59,4.3,0.7,0.7
Chayote,Chayote,H,40.32,24.22,30.09,41.7,20.4,28.7,1.4,5.2,7.12,6.11,3.0,0.7,2.0,1.0,1.0,1.38,1.4,0.01,0.01
Patola,Patola,L,29.02,18.39,33.59,91.3,76.0,58.2,62.3,57.6,24.6,411.4,10.2,0.3,57.6,57.6,57.6,4.69,62.3,57.6,57.6
Carrot,Carrot,M,64.41,27.99,27.45,76.1,59.9,73.6,11.7,31.9,46.1,329.3,6.8,8.15,46.1,46.1,46.1,2.0,46.1,46.1,46.1
Ampalaya,Ampalaya,H,37.91,16.98,34.43,39.6,19.4,28.6,1.7,2.4,9.61,17.1,3.74,1.0,2.39,2.39,2.39,5.0,2.42,2.4,2.4
Ampalaya,Ampalaya,H,38.81,21.21,25.67,41.1,19.1,31.0,2.3,5.34,5.3,37.9,5.96,2.9,5.31,5.31,5.31,7.0,5.31,5.31,5.31
Eggplant,Eggplant,H,76.52,16.49,30.49,67.2,19.2,31.5,9.46,2.7,3.0,19.3,9.76,2.62,2.7,2.7,2.7,5.0,2.7,2.7,2.7
Eggplant,Eggplant,L,81.28,19.31,30.08,89.2,79.5,89.2,7.9,60.2,59.1,430.0,4.81,4.5,60.2,60.2,60.2,3.0,60.2,60.2,60.2
Okra,Okra,H,82.38,18.35,31.79,76.7,20.4,30.3,9.81,2.0,7.44,14.3,4.27,3.86,2.0,2.0,2.0,5.0,2.0,2.0,2.0
Eggplant,Eggplant,H,68.97,20.75,33.07,67.4,20.3,29.3,2.55,9.58,3.92,6.05,9.54,6.21,7.0,5.0,6.0,9.0,2.0,1.0,3.0
Ampalaya,Ampalaya,M,38.12,22.64,27.52,48.5,49.5,43.8,10.4,26.9,16.3,192.1,3.58,2.0,26.89,26.89,26.89,9.0,26.92,26.9,26.9
Tomato,Tomato,M,69.54,33.4,25.28,79.3,75.3,61.8,9.8,41.9,36.5,299.3,2.5,2.43,41.9,41.9,41.9,8.0,41.9,41.9,41.9
Okra,Okra,M,77.65,21.54,32.0,77.2,51.0,57.4,8.06,29.5,25.4,210.7,3.06,2.24,29.5,29.5,29.5,2.0,29.5,29.5,29.5
Okra,Okra,M,73.67,21.81,26.81,79.3,48.2,60.6,5.6,26.4,33.8,241.4,2.41,7.71,33.8,33.8,33.8,6.0,33.8,33.8,33.8
Chayote,Chayote,L,33.72,17.75,26.67,62.9,83.5,58.3,29.2,65.8,31.6,470.0,6.09,6.83,65.8,65.8,65.8,3.0,65.8,65.8,65.8
Patola,Patola,L,29.44,19.96,29.7,89.8,78.2,61.5,60.4,58.2,31.8,415.7,4.8,6.43,58.2,58.2,58.2,2.21,60.41,58.2,58.2
Ampalaya,Ampalaya,L,40.52,20.63,26.21,88.3,79.0,60.5,47.8,58.4,34.3,417.1,2.41,5.0,58.39,58.39,58.39,9.0,58.42,58.4,58.4
Chayote,Chayote,M,42.14,21.19,29.67,51.6,50.3,44.3,9.5,29.1,14.6,207.9,3.61,3.49,29.11,29.11,29.11,9.0,29.11,29.11,29.11
Ampalaya,Ampalaya,M,39.45,18.07,28.51,48.1,51.4,43.5,8.6,33.3,15.0,237.9,7.36,6.49,33.31,33.31,33.31,3.0,33.31,33.31,33.31
Chayote,Chayote,H,46.0,20.84,32.55,38.1,19.6,31.3,8.04,8.87,6.03,6.65,2.99,8.61,1.0,7.0,10.0,8.0,7.0,4.0,6.0
Eggplant,Eggplant,M,82.97,20.9,34.66,82.2,50.0,57.2,7.79,29.1,22.5,207.9,6.19,3.71,29.11,29.11,29.11,10.0,29.11,29.11,29.11
Tomato,Tomato,L,68.6,26.4,33.14,91.0,123.8,94.4,22.4,97.4,61.3,695.7,7.41,9.28,97.4,97.4,97.4,10.0,97.4,97.4,97.4
Tomato,Tomato,L,79.33,32.36,30.03,89.8,115.0,86.1,10.5,82.6,56.1,590.0,1.79,4.43,82.6,82.6,82.6,10.0,82.6,82.6,82.6
Carrot,Carrot,H,66.9,32.66,28.12,72.6,30.7,30.1,5.7,9.77,2.0,14.3,8.0,0.7,2.0,2.0,2.0,3.68,5.7,2.01,2.01
Okra,Okra,L,74.18,22.47,30.23,93.9,76.2,93.9,19.7,53.7,63.7,455.0,3.35,6.52,63.7,63.7,63.7,7.0,63.7,63.7,63.7
Okra,Okra,M,75.09,20.37,23.47,76.6,49.4,62.8,1.5,29.0,39.3,280.7,7.26,8.89,39.3,39.3,39.3,8.0,39.3,39.3,39.3
Chayote,Chayote,H,34.97,21.11,33.92,40.1,19.3,29.9,5.1,4.25,1.88,8.88,11.1,2.25,2.0,6.0,9.0,5.11,5.11,6.0,7.0
Okra,Okra,M,77.69,17.92,29.19,79.3,49.4,60.7,1.6,31.5,31.5,225.0,1.36,8.93,31.5,31.5,31.5,2.0,31.5,31.5,31.5
Okra,Okra,L,81.18,20.63,29.53,88.4,80.0,91.2,7.2,59.4,61.7,440.7,8.76,1.55,61.7,61.7,61.7,3.0,61.7,61.7,61.7
Cabbage,Cabbage,L,129.66,24.63,23.13,153.8,59.4,60.4,24.1,34.8,37.3,266.4,2.23,6.86,37.3,37.3,37.3,2.0,37.3,37.3,37.3
Chayote,Chayote,L,43.73,23.46,28.42,57.5,79.9,62.5,13.8,56.4,34.1,402.9,2.45,4.99,56.41,56.41,56.41,7.0,56.41,56.41,56.41
Chili Pepper,Chili Pepper,L,33.52,29.06,53.89,86.5,82.8,152.9,53.0,53.7,99.0,707.1,1.37,10.0,98.99,98.99,98.99,7.0,99.02,99.0,99.0
Chili Pepper,Chili Pepper,M,24.58,31.16,57.78,61.2,50.4,119.5,36.6,19.2,61.7,440.7,3.64,9.51,61.7,61.7,61.7,3.0,61.7,61.7,61.7
Ampalaya,Ampalaya,L,36.25,20.65,33.44,85.6,76.0,62.7,49.3,55.4,29.3,395.7,4.95,7.17,55.4,55.4,55.4,7.0,55.4,55.4,55.4
Okra,Okra,L,91.36,27.29,26.72,87.8,81.9,86.8,1.14,54.6,60.1,429.3,4.1,4.94,60.1,60.1,60.1,7.0,60.1,60.1,60.1
Patola,Patola,M,31.61,22.06,29.71,58.9,48.3,44.2,27.3,26.2,14.5,187.1,2.4,3.0,26.19,26.19,26.19,1.1,27.32,26.2,26.2
Chayote,Chayote,H,40.16,15.51,31.07,41.3,20.4,30.0,1.1,4.9,6.27,35.0,9.82,8.08,4.9,4.9,4.9,8.0,4.9,4.9,4.9
String Bean,String Bean,L,33.43,18.61,28.54,52.5,86.4,49.4,19.1,67.8,20.9,484.3,1.65,8.46,67.8,67.8,67.8,3.0,67.8,67.8,67.8
Tomato,Tomato,M,73.55,29.87,31.19,80.0,75.3,57.1,6.5,45.4,25.9,324.3,5.58,7.41,45.4,45.4,45.4,4.0,45.4,45.4,45.4
Eggplant,Eggplant,H,70.02,21.5,29.97,66.9,20.5,30.2,2.97,8.14,0.2,1.4,5.43,3.05,0.2,0.2,0.2,4.0,0.2,0.2,0.2
Patola,Patola,L,28.83,16.51,30.99,88.3,78.1,61.5,59.5,61.6,30.5,440.0,8.83,7.0,61.6,61.6,61.6,3.0,61.6,61.6,61.6
String Bean,String Bean,L,34.53,18.62,28.63,48.7,92.6,51.7,14.2,74.0,23.1,528.6,8.43,5.73,74.0,74.0,74.0,6.0,74.0,74.0,74.0
Okra,Okra,M,77.47,18.39,30.12,78.2,50.3,59.0,0.7,31.9,28.9,227.9,5.99,2.69,31.91,31.91,31.91,2.0,31.91,31.91,31.91
Eggplant,Eggplant,H,57.33,19.31,34.56,67.0,19.4,30.5,9.7,0.1,8.53,0.7,20.9,6.8,0.1,0.1,0.1,9.61,9.71,0.1,0.1
Chili Pepper,Chili Pepper,M,33.31,32.12,54.06,59.9,47.7,115.3,26.6,15.6,61.2,437.1,5.55,7.0,61.19,61.19,61.19,1.0,61.22,61.2,61.2
Chayote,Chayote,H,36.64,20.67,32.56,39.9,20.5,29.4,3.3,1.92,6.37,6.2,7.2,4.97,1.0,4.0,10.0,3.31,3.31,4.0,2.0
Eggplant,Eggplant,H,72.47,20.51,32.2,69.9,20.0,30.2,9.29,8.57,5.79,1.88,4.42,6.22,2.0,3.0,3.0,1.0,8.0,4.0,3.0
Ampalaya,Ampalaya,L,44.56,20.57,28.27,94.4,76.7,60.7,49.8,56.1,32.4,400.7,10.0,1.4,56.1,56.1,56.1,1.0,56.1,56.1,56.1
Tomato,Tomato,H,59.79,29.54,29.46,68.9,30.7,28.6,9.1,1.2,2.44,8.6,17.2,3.61,1.2,1.2,1.2,7.91,9.11,1.2,1.2
Carrot,Carrot,M,62.01,35.37,24.36,82.6,61.1,74.0,20.6,25.7,49.6,354.3,2.88,5.59,49.6,49.6,49.6,5.0,49.6,49.6,49.6
Chili Pepper,Chili Pepper,L,38.17,30.99,58.4,93.2,76.3,150.1,55.0,45.3,91.7,655.0,3.19,8.5,91.7,91.7,91.7,5.0,91.7,91.7,91.7
String Bean,String Bean,H,36.9,19.22,34.43,34.5,19.3,30.6,8.08,0.1,8.34,0.7,1.57,5.74,0.1,0.1,0.1,2.0,0.1,0.1,0.1
String Bean,String Bean,H,36.2,19.39,35.43,33.4,20.1,29.5,3.32,0.7,4.39,5.0,8.26,7.48,0.7,0.7,0.7,3.0,0.7,0.7,0.7
Cabbage,Cabbage,H,100.22,28.24,21.15,115.4,19.3,29.4,15.2,3.05,8.2,58.6,15.2,0.3,8.2,8.2,8.2,6.99,15.2,8.2,8.2
Chili Pepper,Chili Pepper,H,30.84,35.75,71.34,28.8,30.9,60.4,7.33,7.25,8.96,4.95,1.27,8.53,6.0,4.0,8.0,9.0,10.0,1.0,10.0
Chayote,Chayote,L,40.57,20.22,31.05,57.2,79.7,59.0,16.6,59.5,28.0,425.0,9.19,4.98,59.5,59.5,59.5,1.0,59.5,59.5,59.5
Patola,Patola,L,27.43,20.95,29.55,88.2,82.7,61.0,60.8,61.8,31.4,441.4,3.63,3.88,61.8,61.8,61.8,5.0,61.8,61.8,61.8
Ampalaya,Ampalaya,M,45.41,17.77,33.82,49.1,51.1,42.9,3.7,33.3,9.1,237.9,2.4,9.03,33.31,33.31,33.31,10.0,33.31,33.31,33.31
Eggplant,Eggplant,L,75.7,19.38,30.05,85.7,83.7,91.5,10.0,64.3,61.4,459.3,5.14,7.08,64.3,64.3,64.3,4.0,64.3,64.3,64.3
Eggplant,Eggplant,L,73.53,19.75,29.4,89.0,78.5,91.9,15.5,58.8,62.5,446.4,3.12,1.82,62.5,62.5,62.5,4.0,62.5,62.5,62.5
Chili Pepper,Chili Pepper,H,34.75,26.53,67.18,30.4,29.9,57.8,2.9,3.4,1.5,24.3,7.29,4.88,3.4,3.4,3.4,2.0,3.4,3.4,3.4
Eggplant,Eggplant,L,72.72,21.01,31.22,86.8,83.3,94.0,14.1,62.3,62.8,448.6,6.34,5.56,62.8,62.8,62.8,7.0,62.8,62.8,62.8
Cabbage,Cabbage,L,109.39,29.38,18.08,143.8,62.1,60.9,34.4,32.7,42.8,305.7,4.3,4.13,42.8,42.8,42.8,3.0,42.8,42.8,42.8
Tomato,Tomato,L,65.73,29.09,29.23,89.3,119.7,92.1,23.6,90.6,62.9,647.1,2.79,6.0,90.59,90.59,90.59,6.0,90.62,90.6,90.6
Patola,Patola,M,27.39,17.72,26.43,60.9,52.1,43.5,33.5,34.4,17.1,245.7,6.07,7.23,34.4,34.4,34.4,2.0,34.4,34.4,34.4
Tomato,Tomato,L,87.29,32.72,25.13,91.0,119.5,90.9,3.7,86.8,65.8,620.0,8.71,7.83,86.8,86.8,86.8,1.0,86.8,86.8,86.8
Eggplant,Eggplant,H,63.11,21.89,31.3,68.6,19.8,28.8,5.5,5.49,4.21,8.29,12.0,5.78,7.0,10.0,4.0,5.52,5.52,4.0,9.0
String Bean,String Bean,M,35.26,22.53,32.09,39.8,45.8,39.0,4.5,23.3,6.9,166.4,2.05,9.98,23.3,23.3,23.3,1.0,23.3,23.3,23.3
String Bean,String Bean,M,32.79,20.9,35.48,41.8,42.8,41.8,9.0,21.9,6.3,156.4,9.63,6.68,21.9,21.9,21.9,7.0,21.9,21.9,21.9
Tomato,Tomato,H,58.46,31.49,34.79,68.3,31.0,28.7,9.8,8.65,2.87,8.42,21.3,7.34,1.0,9.0,6.0,9.8,9.8,4.0,6.0
Ampalaya,Ampalaya,H,42.05,21.26,26.69,38.8,20.5,29.1,4.09,6.66,2.4,17.1,1.69,1.0,2.39,2.39,2.39,8.0,2.42,2.4,2.4
Carrot,Carrot,M,60.55,28.86,37.24,82.4,60.0,75.2,21.9,31.1,38.0,271.4,7.25,3.19,38.0,38.0,38.0,4.0,38.0,38.0,38.0
Patola,Patola,M,35.5,19.39,23.74,59.9,52.1,46.0,24.4,32.7,22.3,233.6,3.52,3.86,32.7,32.7,32.7,1.0,32.7,32.7,32.7
Chayote,Chayote,L,41.53,21.43,29.34,61.5,78.7,59.4,20.0,57.3,30.1,409.3,1.73,7.05,57.3,57.3,57.3,10.0,57.3,57.3,57.3
Tomato,Tomato,M,73.58,31.59,33.61,77.0,76.4,60.5,3.4,44.8,26.9,320.0,2.38,2.52,44.8,44.8,44.8,9.0,44.8,44.8,44.8
Eggplant,Eggplant,H,73.75,18.7,29.99,69.9,19.9,28.6,4.83,1.2,8.38,8.6,4.0,8.65,1.2,1.2,1.2,10.0,1.2,1.2,1.2
Patola,Patola,H,27.68,18.92,31.73,30.2,19.8,31.3,2.5,0.9,2.2,6.4,3.5,3.81,0.9,0.9,0.9,1.61,2.51,0.9,0.9
Chayote,Chayote,L,35.39,20.06,29.91,57.9,80.5,58.1,22.5,60.4,28.2,431.4,2.9,1.53,60.4,60.4,60.4,9.0,60.4,60.4,60.4
String Bean,String Bean,M,38.13,15.74,25.51,40.7,45.0,41.7,2.6,29.3,16.2,209.3,3.1,6.48,29.3,29.3,29.3,6.0,29.3,29.3,29.3
